experiment,module,subexperiment,shape,variant,baseline,family,device,dtype,repeat,warmup,uses_real_weights,input_type,weight_group,kl_divergence,mse,mae,max_error,cosine_similarity,relative_l2_error,latency_mean_ms,latency_std_ms,score_source,weight_key
pi0_real_weight_simplify,vlm_layer0_ffn_activation,ffn_activation,"[1, 128, 2048]",exact_gelu,exact_gelu,gelu_family,cuda,float32,3,2,True,random_tensor,paligemma language_model layer0 mlp,not_applicable,0.0,0.0,0.0,0.9999999403953552,0.0,2.0034543331348686,0.003145043992487082,,
pi0_real_weight_simplify,vlm_layer0_ffn_activation,ffn_activation,"[1, 128, 2048]",tanh_gelu,exact_gelu,gelu_family,cuda,float32,3,2,True,random_tensor,paligemma language_model layer0 mlp,not_applicable,3.2233199931397394e-07,0.00045118629350326955,0.0055370330810546875,1.0,0.00018160608306061476,1.9979106670386197,0.00018578556118861486,,
pi0_real_weight_simplify,vlm_layer0_ffn_activation,ffn_activation,"[1, 128, 2048]",pwl_gelu,exact_gelu,gelu_family,cuda,float32,3,2,True,random_tensor,paligemma language_model layer0 mlp,not_applicable,0.0391559973359108,0.15572693943977356,2.7811546325683594,0.998171329498291,0.06329622864723206,3.48718233362888,0.005291738709285258,,
pi0_real_weight_simplify,vlm_layer0_ffn_activation,ffn_activation,"[1, 128, 2048]",clipped_linear_gelu,exact_gelu,gelu_family,cuda,float32,3,2,True,random_tensor,paligemma language_model layer0 mlp,not_applicable,0.5329328775405884,0.5747216939926147,8.68261432647705,0.9775571227073669,0.23351506888866425,1.9746739999391139,0.0016274552776281185,,
pi0_real_weight_simplify,vlm_layer0_ffn_activation,ffn_activation,"[1, 128, 2048]",identity,exact_gelu,gelu_family,cuda,float32,3,2,True,random_tensor,paligemma language_model layer0 mlp,not_applicable,9.855552673339844,2.466904401779175,26.648794174194336,0.7289987802505493,1.004197597503662,1.929660666670922,0.0017375489235643207,,
pi0_real_weight_simplify,vlm_layer0_ffn_activation,ffn_activation,"[1, 128, 2048]",exact_silu,exact_silu,silu_family,cuda,float32,3,2,True,random_tensor,paligemma language_model layer0 mlp,not_applicable,0.0,0.0,0.0,0.9999998807907104,0.0,1.955895666469587,0.0029261761857997393,,
pi0_real_weight_simplify,vlm_layer0_ffn_activation,ffn_activation,"[1, 128, 2048]",hard_swish,exact_silu,silu_family,cuda,float32,3,2,True,random_tensor,paligemma language_model layer0 mlp,not_applicable,0.06723462045192719,0.20437705516815186,2.9047412872314453,0.9962897300720215,0.09134645760059357,2.0009126662140866,0.001479475074760565,,
pi0_real_weight_simplify,action_expert_layer0_ffn_activation,ffn_activation,"[1, 50, 1024]",exact_gelu,exact_gelu,gelu_family,cuda,float32,3,2,True,random_tensor,gemma_expert layer0 mlp,not_applicable,0.0,0.0,0.0,1.0,0.0,0.20645333340022867,0.0015297063368207209,,
pi0_real_weight_simplify,action_expert_layer0_ffn_activation,ffn_activation,"[1, 50, 1024]",tanh_gelu,exact_gelu,gelu_family,cuda,float32,3,2,True,random_tensor,gemma_expert layer0 mlp,not_applicable,2.480867777876483e-08,0.00012499865260906518,0.0011184215545654297,0.9999999403953552,0.00019662371778395027,0.2031806664793597,0.0010228316096540634,,
pi0_real_weight_simplify,action_expert_layer0_ffn_activation,ffn_activation,"[1, 50, 1024]",pwl_gelu,exact_gelu,gelu_family,cuda,float32,3,2,True,random_tensor,gemma_expert layer0 mlp,not_applicable,0.0029042570386081934,0.04292892664670944,0.27521955966949463,0.9978142976760864,0.06727466732263565,1.0650463333756004,0.015256582430675044,,
pi0_real_weight_simplify,action_expert_layer0_ffn_activation,ffn_activation,"[1, 50, 1024]",clipped_linear_gelu,exact_gelu,gelu_family,cuda,float32,3,2,True,random_tensor,gemma_expert layer0 mlp,not_applicable,0.03610682487487793,0.15055133402347565,1.3234078884124756,0.9759454727172852,0.23720766603946686,0.2116163332175347,0.001342411177180399,,
pi0_real_weight_simplify,action_expert_layer0_ffn_activation,ffn_activation,"[1, 50, 1024]",identity,exact_gelu,gelu_family,cuda,float32,3,2,True,random_tensor,gemma_expert layer0 mlp,not_applicable,0.6669047474861145,0.6461637616157532,6.027410984039307,0.7531309723854065,1.0194501876831055,0.200219333540493,0.0008877515403209645,,
pi0_real_weight_simplify,action_expert_layer0_ffn_activation,ffn_activation,"[1, 50, 1024]",exact_silu,exact_silu,silu_family,cuda,float32,3,2,True,random_tensor,gemma_expert layer0 mlp,not_applicable,0.0,0.0,0.0,0.9999999403953552,0.0,0.2034653331672113,0.0014230389561311553,,
pi0_real_weight_simplify,action_expert_layer0_ffn_activation,ffn_activation,"[1, 50, 1024]",hard_swish,exact_silu,silu_family,cuda,float32,3,2,True,random_tensor,gemma_expert layer0 mlp,not_applicable,0.004688584711402655,0.05434244126081467,0.4831424951553345,0.9960678219795227,0.09356601536273956,0.21034100003210673,0.001569835076123611,,
pi0_real_weight_simplify,vlm_layer0_self_attention_softmax,softmax,"[1, 8, 768, 768]",exact_softmax,exact_softmax,softmax,cuda,float32,5,2,True,random_tensor,,0.0,0.0,0.0,0.0,1.0,0.0,0.19002319968421943,0.00377333552590402,real vlm layer0 q_proj/k_proj,
pi0_real_weight_simplify,vlm_layer0_self_attention_softmax,softmax,"[1, 8, 768, 768]",lut_softmax,exact_softmax,softmax,cuda,float32,5,2,True,random_tensor,,2.6880967197939754e-05,8.546330865222274e-10,2.0920616350394994e-07,0.04853242635726929,0.9999459385871887,0.010839249938726425,2.110052399984852,0.012589324481856321,real vlm layer0 q_proj/k_proj,
pi0_real_weight_simplify,vlm_layer0_self_attention_softmax,softmax,"[1, 8, 768, 768]",pwl_softmax,exact_softmax,softmax,cuda,float32,5,2,True,random_tensor,,0.009613174945116043,2.3901830559225345e-07,0.00014804687816649675,0.09993690252304077,0.991977334022522,0.1812696009874344,3.753431199947954,0.012887968378209968,real vlm layer0 q_proj/k_proj,
pi0_real_weight_simplify,vlm_layer0_self_attention_softmax,softmax,"[1, 8, 768, 768]",taylor2_softmax,exact_softmax,softmax,cuda,float32,5,2,True,random_tensor,,0.007710481993854046,7.684654406148184e-07,7.808159716660157e-05,0.4794369637966156,0.9609473943710327,0.32502856850624084,0.7581072000903077,0.003243747116142003,real vlm layer0 q_proj/k_proj,
pi0_real_weight_simplify,vlm_layer0_self_attention_softmax,softmax,"[1, 8, 768, 768]",taylor3_softmax,exact_softmax,softmax,cuda,float32,5,2,True,random_tensor,,0.0002752143773250282,2.6313658807453066e-08,1.0920369277300779e-05,0.06717789173126221,0.9991801977157593,0.0601450651884079,1.1046878002161975,0.006799024818201184,real vlm layer0 q_proj/k_proj,
pi0_real_weight_simplify,vlm_layer0_self_attention_softmax,softmax,"[1, 8, 768, 768]",clipped_linear_normalize,exact_softmax,softmax,cuda,float32,5,2,True,random_tensor,,0.2715291380882263,4.960832029610174e-06,0.0006950797978788614,0.6848196387290955,0.5689740777015686,0.8258224129676819,0.2823967999574961,0.0012317655771579546,real vlm layer0 q_proj/k_proj,
pi0_real_weight_simplify,vlm_layer0_self_attention_softmax,softmax,"[1, 8, 768, 768]",base2_softmax,exact_softmax,softmax,cuda,float32,5,2,True,random_tensor,,2.688298627617769e-05,8.532957118667639e-10,1.6863400276179163e-07,0.04852038621902466,0.999945878982544,0.010830766521394253,0.3601615999286878,0.003968535766302428,real vlm layer0 q_proj/k_proj,
pi0_real_weight_simplify,action_to_context_attention_softmax,softmax,"[1, 8, 50, 768]",exact_softmax,exact_softmax,softmax,cuda,float32,5,2,True,random_tensor,,0.0,0.0,0.0,0.0,1.0,0.0,0.019087399959971663,0.0010577062589539805,real action expert q_proj plus real vlm layer0 k_proj,
pi0_real_weight_simplify,action_to_context_attention_softmax,softmax,"[1, 8, 50, 768]",lut_softmax,exact_softmax,softmax,cuda,float32,5,2,True,random_tensor,,4.8462678314820096e-09,6.54898896817655e-15,4.227595695738273e-08,4.08664345741272e-06,1.000000238418579,4.2607665818650275e-05,0.16682399982528295,0.02479112051206566,real action expert q_proj plus real vlm layer0 k_proj,
pi0_real_weight_simplify,action_to_context_attention_softmax,softmax,"[1, 8, 50, 768]",pwl_softmax,exact_softmax,softmax,cuda,float32,5,2,True,random_tensor,,0.010573098435997963,6.640556904358164e-08,0.00016113971651066095,0.013638809323310852,0.9935646653175354,0.13567595183849335,0.9757018000527751,0.09097860413447457,real action expert q_proj plus real vlm layer0 k_proj,
pi0_real_weight_simplify,action_to_context_attention_softmax,softmax,"[1, 8, 50, 768]",taylor2_softmax,exact_softmax,softmax,cuda,float32,5,2,True,random_tensor,,0.0016779082361608744,7.881292063416367e-09,5.013908230466768e-05,0.008369334042072296,0.9993664026260376,0.046741142868995667,0.09703000014269492,0.012466283764875252,real action expert q_proj plus real vlm layer0 k_proj,
pi0_real_weight_simplify,action_to_context_attention_softmax,softmax,"[1, 8, 50, 768]",taylor3_softmax,exact_softmax,softmax,cuda,float32,5,2,True,random_tensor,,3.000587639689911e-05,1.0133487104990735e-10,5.604621946986299e-06,0.0011240169405937195,0.9999917149543762,0.005300051067024469,0.12398060007399181,0.01873344266145337,real action expert q_proj plus real vlm layer0 k_proj,
pi0_real_weight_simplify,action_to_context_attention_softmax,softmax,"[1, 8, 50, 768]",clipped_linear_normalize,exact_softmax,softmax,cuda,float32,5,2,True,random_tensor,,0.2512606084346771,1.4696763628307963e-06,0.0007170407916419208,0.049822401255369186,0.7738292217254639,0.6382803320884705,0.047033600094437134,0.004329539606005676,real action expert q_proj plus real vlm layer0 k_proj,
pi0_real_weight_simplify,action_to_context_attention_softmax,softmax,"[1, 8, 50, 768]",base2_softmax,exact_softmax,softmax,cuda,float32,5,2,True,random_tensor,,2.2890429551836178e-09,3.063426886320912e-20,9.318443933148401e-11,1.1175870895385742e-08,1.0,9.215191454359228e-08,0.054705599723092746,0.0016939614182101147,real action expert q_proj plus real vlm layer0 k_proj,
pi0_real_weight_simplify,vlm_layer0_rmsnorm,rmsnorm,"[1, 768, 2048]",exact_rmsnorm,exact_rmsnorm,rmsnorm,cuda,float32,5,2,True,random_tensor,,not_applicable,0.0,0.0,0.0,1.0,0.0,0.05288620013743639,0.009211925941938216,,paligemma_with_expert.paligemma.model.language_model.layers.0.input_layernorm.weight
pi0_real_weight_simplify,vlm_layer0_rmsnorm,rmsnorm,"[1, 768, 2048]",int8_fake_quant_rmsnorm,exact_rmsnorm,rmsnorm,cuda,float32,5,2,True,random_tensor,,not_applicable,0.0003307993174530566,0.013709506019949913,0.16441547870635986,0.9999317526817322,0.01169254444539547,0.123699599680549,0.029409437141475005,,paligemma_with_expert.paligemma.model.language_model.layers.0.input_layernorm.weight
pi0_real_weight_simplify,vlm_layer0_rmsnorm,rmsnorm,"[1, 768, 2048]",nr_rsqrt_1,exact_rmsnorm,rmsnorm,cuda,float32,5,2,True,random_tensor,,not_applicable,4.2386260517071617e-14,8.803575468618874e-08,9.5367431640625e-06,1.0,1.3235467122285627e-07,0.07473499990737764,0.003496054541502784,,paligemma_with_expert.paligemma.model.language_model.layers.0.input_layernorm.weight
pi0_real_weight_simplify,vlm_layer0_rmsnorm,rmsnorm,"[1, 768, 2048]",nr_rsqrt_2,exact_rmsnorm,rmsnorm,cuda,float32,5,2,True,random_tensor,,not_applicable,8.420151240747659e-15,3.180770136168576e-08,3.814697265625e-06,1.0,5.899112309748489e-08,0.09108720005315263,0.003614307521668528,,paligemma_with_expert.paligemma.model.language_model.layers.0.input_layernorm.weight
pi0_real_weight_simplify,vlm_layer0_rmsnorm,rmsnorm,"[1, 768, 2048]",pwl_rsqrt,exact_rmsnorm,rmsnorm,cuda,float32,5,2,True,random_tensor,,not_applicable,0.00015356219955720007,0.00682807806879282,0.5166778564453125,0.9999884366989136,0.007966523990035057,0.6041571999958251,0.006072665469157664,,paligemma_with_expert.paligemma.model.language_model.layers.0.input_layernorm.weight
pi0_real_weight_simplify,action_expert_layer0_rmsnorm,rmsnorm,"[1, 50, 1024]",exact_rmsnorm,exact_rmsnorm,rmsnorm,cuda,float32,5,2,True,random_tensor,,not_applicable,0.0,0.0,0.0,1.0000001192092896,0.0,0.026198800151178148,0.0010111556414651674,,paligemma_with_expert.gemma_expert.model.layers.0.input_layernorm.weight
pi0_real_weight_simplify,action_expert_layer0_rmsnorm,rmsnorm,"[1, 50, 1024]",int8_fake_quant_rmsnorm,exact_rmsnorm,rmsnorm,cuda,float32,5,2,True,random_tensor,,not_applicable,8.45178220743037e-08,0.00021838332759216428,0.0013577948557212949,0.9999496936798096,0.010026910342276096,0.06149039982119575,0.00486484705055571,,paligemma_with_expert.gemma_expert.model.layers.0.input_layernorm.weight
pi0_real_weight_simplify,action_expert_layer0_rmsnorm,rmsnorm,"[1, 50, 1024]",nr_rsqrt_1,exact_rmsnorm,rmsnorm,cuda,float32,5,2,True,random_tensor,,not_applicable,1.4832044869151556e-17,1.6865835394952455e-09,5.960464477539063e-08,1.0000001192092896,1.328292000835063e-07,0.05694599967682734,0.001779452437720703,,paligemma_with_expert.gemma_expert.model.layers.0.input_layernorm.weight
pi0_real_weight_simplify,action_expert_layer0_rmsnorm,rmsnorm,"[1, 50, 1024]",nr_rsqrt_2,exact_rmsnorm,rmsnorm,cuda,float32,5,2,True,random_tensor,,not_applicable,2.264985332907241e-18,4.541935716417811e-10,2.9802322387695312e-08,1.0,5.19069764948199e-08,0.07321979992411798,0.0009535604662489599,,paligemma_with_expert.gemma_expert.model.layers.0.input_layernorm.weight
pi0_real_weight_simplify,action_expert_layer0_rmsnorm,rmsnorm,"[1, 50, 1024]",pwl_rsqrt,exact_rmsnorm,rmsnorm,cuda,float32,5,2,True,random_tensor,,not_applicable,8.717464083929372e-08,0.0001664763258304447,0.0033898353576660156,0.9999830722808838,0.010183289647102356,0.5826852002428495,0.005769281587613924,,paligemma_with_expert.gemma_expert.model.layers.0.input_layernorm.weight
